"নোট","লেখার তারিখ","দফা","রিভিশনের তারিখ","কত দিন বাকি","অবস্থা"
"নোট 1","2026-09-01","1","2026-09-02","-5","তারিখ পেরিয়ে গেছে"
"নোট 1","2026-09-01","2","2026-09-04","-3","তারিখ পেরিয়ে গেছে"
"নোট 1","2026-09-01","3","2026-09-08","1","এখনও বাকি"
"নোট 1","2026-09-01","4","2026-09-17","10","এখনও বাকি"
"নোট 1","2026-09-01","5","2026-10-06","29","এখনও বাকি"
"নোট 2","2026-09-06","1","2026-09-07","0","আজই"
"নোট 2","2026-09-06","2","2026-09-09","2","এখনও বাকি"
"নোট 2","2026-09-06","3","2026-09-13","6","এখনও বাকি"
"নোট 2","2026-09-06","4","2026-09-22","15","এখনও বাকি"
"নোট 2","2026-09-06","5","2026-10-11","34","এখনও বাকি"
"নোট 3","2026-08-20","1","2026-08-21","-17","তারিখ পেরিয়ে গেছে"
"নোট 3","2026-08-20","2","2026-08-23","-15","তারিখ পেরিয়ে গেছে"
"নোট 3","2026-08-20","3","2026-08-27","-11","তারিখ পেরিয়ে গেছে"
"নোট 3","2026-08-20","4","2026-09-05","-2","তারিখ পেরিয়ে গেছে"
"নোট 3","2026-08-20","5","2026-09-24","17","এখনও বাকি"
"নোটের সংখ্যা","3","","","",""
"তারিখের সংখ্যা","15","","","",""
"পরের রিভিশন","2026-09-07","","","",""
