"Apunt","Escrit el","Repàs","Data de repàs","Dies que falten","Estat"
"Apunt 1","2026-09-01","1","2026-09-02","-5","Data passada"
"Apunt 1","2026-09-01","2","2026-09-04","-3","Data passada"
"Apunt 1","2026-09-01","3","2026-09-08","1","Encara ha d'arribar"
"Apunt 1","2026-09-01","4","2026-09-17","10","Encara ha d'arribar"
"Apunt 1","2026-09-01","5","2026-10-06","29","Encara ha d'arribar"
"Apunt 2","2026-09-06","1","2026-09-07","0","És avui"
"Apunt 2","2026-09-06","2","2026-09-09","2","Encara ha d'arribar"
"Apunt 2","2026-09-06","3","2026-09-13","6","Encara ha d'arribar"
"Apunt 2","2026-09-06","4","2026-09-22","15","Encara ha d'arribar"
"Apunt 2","2026-09-06","5","2026-10-11","34","Encara ha d'arribar"
"Apunt 3","2026-08-20","1","2026-08-21","-17","Data passada"
"Apunt 3","2026-08-20","2","2026-08-23","-15","Data passada"
"Apunt 3","2026-08-20","3","2026-08-27","-11","Data passada"
"Apunt 3","2026-08-20","4","2026-09-05","-2","Data passada"
"Apunt 3","2026-08-20","5","2026-09-24","17","Encara ha d'arribar"
"Apunts","3","","","",""
"Dates de repàs","15","","","",""
"Pròxim repàs","2026-09-07","","","",""
