"Poznámka","Napsáno","Kolo","Datum opakování","Zbývá dní","Stav"
"Poznámka 1","2026-09-01","1","2026-09-02","-5","Termín minul"
"Poznámka 1","2026-09-01","2","2026-09-04","-3","Termín minul"
"Poznámka 1","2026-09-01","3","2026-09-08","1","Teprve bude"
"Poznámka 1","2026-09-01","4","2026-09-17","10","Teprve bude"
"Poznámka 1","2026-09-01","5","2026-10-06","29","Teprve bude"
"Poznámka 2","2026-09-06","1","2026-09-07","0","Je to dnes"
"Poznámka 2","2026-09-06","2","2026-09-09","2","Teprve bude"
"Poznámka 2","2026-09-06","3","2026-09-13","6","Teprve bude"
"Poznámka 2","2026-09-06","4","2026-09-22","15","Teprve bude"
"Poznámka 2","2026-09-06","5","2026-10-11","34","Teprve bude"
"Poznámka 3","2026-08-20","1","2026-08-21","-17","Termín minul"
"Poznámka 3","2026-08-20","2","2026-08-23","-15","Termín minul"
"Poznámka 3","2026-08-20","3","2026-08-27","-11","Termín minul"
"Poznámka 3","2026-08-20","4","2026-09-05","-2","Termín minul"
"Poznámka 3","2026-08-20","5","2026-09-24","17","Teprve bude"
"Poznámky","3","","","",""
"Termíny","15","","","",""
"Nejbližší opakování","2026-09-07","","","",""
