"Note","Skrevet den","Runde","Repetitionsdato","Dage tilbage","Status"
"Note 1","2026-09-01","1","2026-09-02","-5","Dato passeret"
"Note 1","2026-09-01","2","2026-09-04","-3","Dato passeret"
"Note 1","2026-09-01","3","2026-09-08","1","Forude"
"Note 1","2026-09-01","4","2026-09-17","10","Forude"
"Note 1","2026-09-01","5","2026-10-06","29","Forude"
"Note 2","2026-09-06","1","2026-09-07","0","Er i dag"
"Note 2","2026-09-06","2","2026-09-09","2","Forude"
"Note 2","2026-09-06","3","2026-09-13","6","Forude"
"Note 2","2026-09-06","4","2026-09-22","15","Forude"
"Note 2","2026-09-06","5","2026-10-11","34","Forude"
"Note 3","2026-08-20","1","2026-08-21","-17","Dato passeret"
"Note 3","2026-08-20","2","2026-08-23","-15","Dato passeret"
"Note 3","2026-08-20","3","2026-08-27","-11","Dato passeret"
"Note 3","2026-08-20","4","2026-09-05","-2","Dato passeret"
"Note 3","2026-08-20","5","2026-09-24","17","Forude"
"Noter","3","","","",""
"Repetitionsdatoer","15","","","",""
"Næste repetition","2026-09-07","","","",""
