order,item_id,category,pinyin,correct_symbol,unicode,example_character,example_pinyin
1,bopomofo_u3105,initial,b,ㄅ,U+3105,爸,bà
2,bopomofo_u3106,initial,p,ㄆ,U+3106,怕,pà
3,bopomofo_u3107,initial,m,ㄇ,U+3107,媽,mā
4,bopomofo_u3108,initial,f,ㄈ,U+3108,飛,fēi
5,bopomofo_u3109,initial,d,ㄉ,U+3109,大,dà
6,bopomofo_u310a,initial,t,ㄊ,U+310A,天,tiān
7,bopomofo_u310b,initial,n,ㄋ,U+310B,你,nǐ
8,bopomofo_u310c,initial,l,ㄌ,U+310C,來,lái
9,bopomofo_u310d,initial,g,ㄍ,U+310D,狗,gǒu
10,bopomofo_u310e,initial,k,ㄎ,U+310E,看,kàn
11,bopomofo_u310f,initial,h,ㄏ,U+310F,好,hǎo
12,bopomofo_u3110,initial,j,ㄐ,U+3110,家,jiā
13,bopomofo_u3111,initial,q,ㄑ,U+3111,去,qù
14,bopomofo_u3112,initial,x,ㄒ,U+3112,小,xiǎo
15,bopomofo_u3113,initial,zh,ㄓ,U+3113,中,zhōng
16,bopomofo_u3114,initial,ch,ㄔ,U+3114,吃,chī
17,bopomofo_u3115,initial,sh,ㄕ,U+3115,是,shì
18,bopomofo_u3116,initial,r,ㄖ,U+3116,人,rén
19,bopomofo_u3117,initial,z,ㄗ,U+3117,早,zǎo
20,bopomofo_u3118,initial,c,ㄘ,U+3118,菜,cài
21,bopomofo_u3119,initial,s,ㄙ,U+3119,三,sān
22,bopomofo_u3127,medial,i / yi,ㄧ,U+3127,一,yī
23,bopomofo_u3128,medial,u / wu,ㄨ,U+3128,五,wǔ
24,bopomofo_u3129,medial,ü / yu,ㄩ,U+3129,魚,yú
25,bopomofo_u311a,final,a,ㄚ,U+311A,大,dà
26,bopomofo_u311b,final,o,ㄛ,U+311B,波,bō
27,bopomofo_u311c,final,e,ㄜ,U+311C,喝,hē
28,bopomofo_u311d,final,ê,ㄝ,U+311D,誒,ề
29,bopomofo_u311e,final,ai,ㄞ,U+311E,愛,ài
30,bopomofo_u311f,final,ei,ㄟ,U+311F,給,gěi
31,bopomofo_u3120,final,ao,ㄠ,U+3120,好,hǎo
32,bopomofo_u3121,final,ou,ㄡ,U+3121,有,yǒu
33,bopomofo_u3122,final,an,ㄢ,U+3122,安,ān
34,bopomofo_u3123,final,en,ㄣ,U+3123,恩,ēn
35,bopomofo_u3124,final,ang,ㄤ,U+3124,忙,máng
36,bopomofo_u3125,final,eng,ㄥ,U+3125,冷,lěng
37,bopomofo_u3126,final,er,ㄦ,U+3126,二,èr
