order,symbol_id,concept_uri,symbol,unicode,pinyin,ipa,category,category_uri,example_character,example_pinyin,example_meaning_en
1,u3105,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3105,ㄅ,U+3105,b,p,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,爸,bà,father
2,u3106,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3106,ㄆ,U+3106,p,pʰ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,怕,pà,afraid
3,u3107,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3107,ㄇ,U+3107,m,m,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,媽,mā,mother
4,u3108,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3108,ㄈ,U+3108,f,f,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,飛,fēi,to fly
5,u3109,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3109,ㄉ,U+3109,d,t,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,大,dà,big
6,u310A,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u310A,ㄊ,U+310A,t,tʰ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,天,tiān,sky
7,u310B,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u310B,ㄋ,U+310B,n,n,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,你,nǐ,you
8,u310C,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u310C,ㄌ,U+310C,l,l,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,來,lái,to come
9,u310D,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u310D,ㄍ,U+310D,g,k,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,狗,gǒu,dog
10,u310E,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u310E,ㄎ,U+310E,k,kʰ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,看,kàn,to look
11,u310F,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u310F,ㄏ,U+310F,h,x,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,好,hǎo,good
12,u3110,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3110,ㄐ,U+3110,j,tɕ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,家,jiā,home
13,u3111,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3111,ㄑ,U+3111,q,tɕʰ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,去,qù,to go
14,u3112,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3112,ㄒ,U+3112,x,ɕ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,小,xiǎo,small
15,u3113,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3113,ㄓ,U+3113,zh,ʈʂ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,中,zhōng,middle
16,u3114,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3114,ㄔ,U+3114,ch,ʈʂʰ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,吃,chī,to eat
17,u3115,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3115,ㄕ,U+3115,sh,ʂ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,是,shì,to be
18,u3116,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3116,ㄖ,U+3116,r,ʐ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,人,rén,person
19,u3117,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3117,ㄗ,U+3117,z,ts,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,早,zǎo,early
20,u3118,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3118,ㄘ,U+3118,c,tsʰ,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,菜,cài,vegetable
21,u3119,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3119,ㄙ,U+3119,s,s,initial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#initials,三,sān,three
22,u3127,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#u3127,ㄧ,U+3127,i / yi,i,medial,https://open.cait518.cc/ios-app-guide/data/zhuyin-bopomofo-vocabulary.html#medials,一,yī,one
