language_code,english_name,traditional_chinese_name,included_in_paid_download,iphone_ipad,home_screen_widget,apple_watch,voice_availability_note,source_url,verified_date
en,English,英文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
zh-Hant,Traditional Chinese,繁體中文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
zh-Hans,Simplified Chinese,簡體中文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ja,Japanese,日文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
ko,Korean,韓文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
de,German,德文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
fr,French,法文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
es,Spanish,西班牙文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
it,Italian,義大利文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
pt,Portuguese,葡萄牙文,true,"Vocabulary lessons, examples and system TTS","View word, next word and save","Learn, system voice, save favourites and view progress","System voice availability can vary by OS, device and installed voices.",https://apps.apple.com/app/id6789917808,2026-07-14
