"Notiz","Geschrieben am","Durchgang","Wiederholung am","Tage übrig","Status"
"Notiz 1","2026-09-01","1","2026-09-02","-5","Termin vorbei"
"Notiz 1","2026-09-01","2","2026-09-04","-3","Termin vorbei"
"Notiz 1","2026-09-01","3","2026-09-08","1","Steht bevor"
"Notiz 1","2026-09-01","4","2026-09-17","10","Steht bevor"
"Notiz 1","2026-09-01","5","2026-10-06","29","Steht bevor"
"Notiz 2","2026-09-06","1","2026-09-07","0","Heute"
"Notiz 2","2026-09-06","2","2026-09-09","2","Steht bevor"
"Notiz 2","2026-09-06","3","2026-09-13","6","Steht bevor"
"Notiz 2","2026-09-06","4","2026-09-22","15","Steht bevor"
"Notiz 2","2026-09-06","5","2026-10-11","34","Steht bevor"
"Notiz 3","2026-08-20","1","2026-08-21","-17","Termin vorbei"
"Notiz 3","2026-08-20","2","2026-08-23","-15","Termin vorbei"
"Notiz 3","2026-08-20","3","2026-08-27","-11","Termin vorbei"
"Notiz 3","2026-08-20","4","2026-09-05","-2","Termin vorbei"
"Notiz 3","2026-08-20","5","2026-09-24","17","Steht bevor"
"Notizen","3","","","",""
"Termine","15","","","",""
"Nächste Wiederholung","2026-09-07","","","",""
