"Σημείωση","Γράφτηκε στις","Γύρος","Ημερομηνία επανάληψης","Μέρες που μένουν","Κατάσταση"
"Σημείωση 1","2026-09-01","1","2026-09-02","-5","Πέρασε"
"Σημείωση 1","2026-09-01","2","2026-09-04","-3","Πέρασε"
"Σημείωση 1","2026-09-01","3","2026-09-08","1","Έρχεται"
"Σημείωση 1","2026-09-01","4","2026-09-17","10","Έρχεται"
"Σημείωση 1","2026-09-01","5","2026-10-06","29","Έρχεται"
"Σημείωση 2","2026-09-06","1","2026-09-07","0","Είναι σήμερα"
"Σημείωση 2","2026-09-06","2","2026-09-09","2","Έρχεται"
"Σημείωση 2","2026-09-06","3","2026-09-13","6","Έρχεται"
"Σημείωση 2","2026-09-06","4","2026-09-22","15","Έρχεται"
"Σημείωση 2","2026-09-06","5","2026-10-11","34","Έρχεται"
"Σημείωση 3","2026-08-20","1","2026-08-21","-17","Πέρασε"
"Σημείωση 3","2026-08-20","2","2026-08-23","-15","Πέρασε"
"Σημείωση 3","2026-08-20","3","2026-08-27","-11","Πέρασε"
"Σημείωση 3","2026-08-20","4","2026-09-05","-2","Πέρασε"
"Σημείωση 3","2026-08-20","5","2026-09-24","17","Έρχεται"
"Σημειώσεις","3","","","",""
"Ημερομηνίες","15","","","",""
"Επόμενη επανάληψη","2026-09-07","","","",""
