"Note","Written on","Review","Review date","Days left","Status"
"Note 1","2026-09-01","1","2026-09-02","-5","Date passed"
"Note 1","2026-09-01","2","2026-09-04","-3","Date passed"
"Note 1","2026-09-01","3","2026-09-08","1","Ahead"
"Note 1","2026-09-01","4","2026-09-17","10","Ahead"
"Note 1","2026-09-01","5","2026-10-06","29","Ahead"
"Note 2","2026-09-06","1","2026-09-07","0","Today"
"Note 2","2026-09-06","2","2026-09-09","2","Ahead"
"Note 2","2026-09-06","3","2026-09-13","6","Ahead"
"Note 2","2026-09-06","4","2026-09-22","15","Ahead"
"Note 2","2026-09-06","5","2026-10-11","34","Ahead"
"Note 3","2026-08-20","1","2026-08-21","-17","Date passed"
"Note 3","2026-08-20","2","2026-08-23","-15","Date passed"
"Note 3","2026-08-20","3","2026-08-27","-11","Date passed"
"Note 3","2026-08-20","4","2026-09-05","-2","Date passed"
"Note 3","2026-08-20","5","2026-09-24","17","Ahead"
"Notes","3","","","",""
"Review dates","15","","","",""
"Next review","2026-09-07","","","",""
