"Apunte","Escrito el","Repaso","Fecha de repaso","Días que faltan","Estado"
"Apunte 1","2026-09-01","1","2026-09-02","-5","Fecha pasada"
"Apunte 1","2026-09-01","2","2026-09-04","-3","Fecha pasada"
"Apunte 1","2026-09-01","3","2026-09-08","1","Por venir"
"Apunte 1","2026-09-01","4","2026-09-17","10","Por venir"
"Apunte 1","2026-09-01","5","2026-10-06","29","Por venir"
"Apunte 2","2026-09-06","1","2026-09-07","0","Es hoy"
"Apunte 2","2026-09-06","2","2026-09-09","2","Por venir"
"Apunte 2","2026-09-06","3","2026-09-13","6","Por venir"
"Apunte 2","2026-09-06","4","2026-09-22","15","Por venir"
"Apunte 2","2026-09-06","5","2026-10-11","34","Por venir"
"Apunte 3","2026-08-20","1","2026-08-21","-17","Fecha pasada"
"Apunte 3","2026-08-20","2","2026-08-23","-15","Fecha pasada"
"Apunte 3","2026-08-20","3","2026-08-27","-11","Fecha pasada"
"Apunte 3","2026-08-20","4","2026-09-05","-2","Fecha pasada"
"Apunte 3","2026-08-20","5","2026-09-24","17","Por venir"
"Apuntes","3","","","",""
"Fechas de repaso","15","","","",""
"Próximo repaso","2026-09-07","","","",""
