"Note","Écrite le","Tour","Date de révision","Jours restants","État"
"Note 1","2026-09-01","1","2026-09-02","-5","Date dépassée"
"Note 1","2026-09-01","2","2026-09-04","-3","Date dépassée"
"Note 1","2026-09-01","3","2026-09-08","1","À venir"
"Note 1","2026-09-01","4","2026-09-17","10","À venir"
"Note 1","2026-09-01","5","2026-10-06","29","À venir"
"Note 2","2026-09-06","1","2026-09-07","0","C'est aujourd'hui"
"Note 2","2026-09-06","2","2026-09-09","2","À venir"
"Note 2","2026-09-06","3","2026-09-13","6","À venir"
"Note 2","2026-09-06","4","2026-09-22","15","À venir"
"Note 2","2026-09-06","5","2026-10-11","34","À venir"
"Note 3","2026-08-20","1","2026-08-21","-17","Date dépassée"
"Note 3","2026-08-20","2","2026-08-23","-15","Date dépassée"
"Note 3","2026-08-20","3","2026-08-27","-11","Date dépassée"
"Note 3","2026-08-20","4","2026-09-05","-2","Date dépassée"
"Note 3","2026-08-20","5","2026-09-24","17","À venir"
"Notes","3","","","",""
"Dates de révision","15","","","",""
"Prochaine révision","2026-09-07","","","",""
