"નોંધ","લખ્યાની તારીખ","વખત","પુનરાવર્તનની તારીખ","કેટલા દિવસ બાકી","સ્થિતિ"
"નોંધ 1","2026-09-01","1","2026-09-02","-5","તારીખ નીકળી ગઈ"
"નોંધ 1","2026-09-01","2","2026-09-04","-3","તારીખ નીકળી ગઈ"
"નોંધ 1","2026-09-01","3","2026-09-08","1","હજી બાકી"
"નોંધ 1","2026-09-01","4","2026-09-17","10","હજી બાકી"
"નોંધ 1","2026-09-01","5","2026-10-06","29","હજી બાકી"
"નોંધ 2","2026-09-06","1","2026-09-07","0","આજે જ"
"નોંધ 2","2026-09-06","2","2026-09-09","2","હજી બાકી"
"નોંધ 2","2026-09-06","3","2026-09-13","6","હજી બાકી"
"નોંધ 2","2026-09-06","4","2026-09-22","15","હજી બાકી"
"નોંધ 2","2026-09-06","5","2026-10-11","34","હજી બાકી"
"નોંધ 3","2026-08-20","1","2026-08-21","-17","તારીખ નીકળી ગઈ"
"નોંધ 3","2026-08-20","2","2026-08-23","-15","તારીખ નીકળી ગઈ"
"નોંધ 3","2026-08-20","3","2026-08-27","-11","તારીખ નીકળી ગઈ"
"નોંધ 3","2026-08-20","4","2026-09-05","-2","તારીખ નીકળી ગઈ"
"નોંધ 3","2026-08-20","5","2026-09-24","17","હજી બાકી"
"નોંધની સંખ્યા","3","","","",""
"તારીખોની સંખ્યા","15","","","",""
"આગલું પુનરાવર્તન","2026-09-07","","","",""
