"סיכום","נכתב ב","סבב","תאריך חזרה","ימים שנותרו","מצב"
"סיכום 1","2026-09-01","1","2026-09-02","-5","התאריך עבר"
"סיכום 1","2026-09-01","2","2026-09-04","-3","התאריך עבר"
"סיכום 1","2026-09-01","3","2026-09-08","1","עוד לפנינו"
"סיכום 1","2026-09-01","4","2026-09-17","10","עוד לפנינו"
"סיכום 1","2026-09-01","5","2026-10-06","29","עוד לפנינו"
"סיכום 2","2026-09-06","1","2026-09-07","0","בדיוק היום"
"סיכום 2","2026-09-06","2","2026-09-09","2","עוד לפנינו"
"סיכום 2","2026-09-06","3","2026-09-13","6","עוד לפנינו"
"סיכום 2","2026-09-06","4","2026-09-22","15","עוד לפנינו"
"סיכום 2","2026-09-06","5","2026-10-11","34","עוד לפנינו"
"סיכום 3","2026-08-20","1","2026-08-21","-17","התאריך עבר"
"סיכום 3","2026-08-20","2","2026-08-23","-15","התאריך עבר"
"סיכום 3","2026-08-20","3","2026-08-27","-11","התאריך עבר"
"סיכום 3","2026-08-20","4","2026-09-05","-2","התאריך עבר"
"סיכום 3","2026-08-20","5","2026-09-24","17","עוד לפנינו"
"סיכומים","3","","","",""
"מועדי חזרה","15","","","",""
"החזרה הבאה","2026-09-07","","","",""
