"नोट","लिखने की तारीख","बार","दोहराने की तारीख","कितने दिन बचे","स्थिति"
"नोट 1","2026-09-01","1","2026-09-02","-5","तारीख निकल गई"
"नोट 1","2026-09-01","2","2026-09-04","-3","तारीख निकल गई"
"नोट 1","2026-09-01","3","2026-09-08","1","अभी बाकी"
"नोट 1","2026-09-01","4","2026-09-17","10","अभी बाकी"
"नोट 1","2026-09-01","5","2026-10-06","29","अभी बाकी"
"नोट 2","2026-09-06","1","2026-09-07","0","आज ही"
"नोट 2","2026-09-06","2","2026-09-09","2","अभी बाकी"
"नोट 2","2026-09-06","3","2026-09-13","6","अभी बाकी"
"नोट 2","2026-09-06","4","2026-09-22","15","अभी बाकी"
"नोट 2","2026-09-06","5","2026-10-11","34","अभी बाकी"
"नोट 3","2026-08-20","1","2026-08-21","-17","तारीख निकल गई"
"नोट 3","2026-08-20","2","2026-08-23","-15","तारीख निकल गई"
"नोट 3","2026-08-20","3","2026-08-27","-11","तारीख निकल गई"
"नोट 3","2026-08-20","4","2026-09-05","-2","तारीख निकल गई"
"नोट 3","2026-08-20","5","2026-09-24","17","अभी बाकी"
"नोट्स","3","","","",""
"दोहराई की तारीखें","15","","","",""
"अगली दोहराई","2026-09-07","","","",""
