"Bilješka","Napisano","Krug","Datum ponavljanja","Dana do roka","Stanje"
"Bilješka 1","2026-09-01","1","2026-09-02","-5","Datum je prošao"
"Bilješka 1","2026-09-01","2","2026-09-04","-3","Datum je prošao"
"Bilješka 1","2026-09-01","3","2026-09-08","1","Tek dolazi"
"Bilješka 1","2026-09-01","4","2026-09-17","10","Tek dolazi"
"Bilješka 1","2026-09-01","5","2026-10-06","29","Tek dolazi"
"Bilješka 2","2026-09-06","1","2026-09-07","0","Danas je"
"Bilješka 2","2026-09-06","2","2026-09-09","2","Tek dolazi"
"Bilješka 2","2026-09-06","3","2026-09-13","6","Tek dolazi"
"Bilješka 2","2026-09-06","4","2026-09-22","15","Tek dolazi"
"Bilješka 2","2026-09-06","5","2026-10-11","34","Tek dolazi"
"Bilješka 3","2026-08-20","1","2026-08-21","-17","Datum je prošao"
"Bilješka 3","2026-08-20","2","2026-08-23","-15","Datum je prošao"
"Bilješka 3","2026-08-20","3","2026-08-27","-11","Datum je prošao"
"Bilješka 3","2026-08-20","4","2026-09-05","-2","Datum je prošao"
"Bilješka 3","2026-08-20","5","2026-09-24","17","Tek dolazi"
"Bilješke","3","","","",""
"Datumi ponavljanja","15","","","",""
"Sljedeće ponavljanje","2026-09-07","","","",""
