"Jegyzet","Ekkor írtam","Kör","Ismétlés dátuma","Hátralévő nap","Állapot"
"Jegyzet 1","2026-09-01","1","2026-09-02","-5","Már elmúlt"
"Jegyzet 1","2026-09-01","2","2026-09-04","-3","Már elmúlt"
"Jegyzet 1","2026-09-01","3","2026-09-08","1","Még hátra van"
"Jegyzet 1","2026-09-01","4","2026-09-17","10","Még hátra van"
"Jegyzet 1","2026-09-01","5","2026-10-06","29","Még hátra van"
"Jegyzet 2","2026-09-06","1","2026-09-07","0","Éppen ma"
"Jegyzet 2","2026-09-06","2","2026-09-09","2","Még hátra van"
"Jegyzet 2","2026-09-06","3","2026-09-13","6","Még hátra van"
"Jegyzet 2","2026-09-06","4","2026-09-22","15","Még hátra van"
"Jegyzet 2","2026-09-06","5","2026-10-11","34","Még hátra van"
"Jegyzet 3","2026-08-20","1","2026-08-21","-17","Már elmúlt"
"Jegyzet 3","2026-08-20","2","2026-08-23","-15","Már elmúlt"
"Jegyzet 3","2026-08-20","3","2026-08-27","-11","Már elmúlt"
"Jegyzet 3","2026-08-20","4","2026-09-05","-2","Már elmúlt"
"Jegyzet 3","2026-08-20","5","2026-09-24","17","Még hátra van"
"Jegyzetek","3","","","",""
"Ismétlési dátumok","15","","","",""
"Következő ismétlés","2026-09-07","","","",""
