"Catatan","Ditulis pada","Putaran","Tanggal ulang","Sisa hari","Status"
"Catatan 1","2026-09-01","1","2026-09-02","-5","Sudah lewat"
"Catatan 1","2026-09-01","2","2026-09-04","-3","Sudah lewat"
"Catatan 1","2026-09-01","3","2026-09-08","1","Masih akan datang"
"Catatan 1","2026-09-01","4","2026-09-17","10","Masih akan datang"
"Catatan 1","2026-09-01","5","2026-10-06","29","Masih akan datang"
"Catatan 2","2026-09-06","1","2026-09-07","0","Tepat hari ini"
"Catatan 2","2026-09-06","2","2026-09-09","2","Masih akan datang"
"Catatan 2","2026-09-06","3","2026-09-13","6","Masih akan datang"
"Catatan 2","2026-09-06","4","2026-09-22","15","Masih akan datang"
"Catatan 2","2026-09-06","5","2026-10-11","34","Masih akan datang"
"Catatan 3","2026-08-20","1","2026-08-21","-17","Sudah lewat"
"Catatan 3","2026-08-20","2","2026-08-23","-15","Sudah lewat"
"Catatan 3","2026-08-20","3","2026-08-27","-11","Sudah lewat"
"Catatan 3","2026-08-20","4","2026-09-05","-2","Sudah lewat"
"Catatan 3","2026-08-20","5","2026-09-24","17","Masih akan datang"
"Jumlah catatan","3","","","",""
"Jumlah tanggal","15","","","",""
"Ulangan berikutnya","2026-09-07","","","",""
