"Appunto","Scritto il","Ripasso","Data del ripasso","Giorni mancanti","Stato"
"Appunto 1","2026-09-01","1","2026-09-02","-5","Data passata"
"Appunto 1","2026-09-01","2","2026-09-04","-3","Data passata"
"Appunto 1","2026-09-01","3","2026-09-08","1","In arrivo"
"Appunto 1","2026-09-01","4","2026-09-17","10","In arrivo"
"Appunto 1","2026-09-01","5","2026-10-06","29","In arrivo"
"Appunto 2","2026-09-06","1","2026-09-07","0","È oggi"
"Appunto 2","2026-09-06","2","2026-09-09","2","In arrivo"
"Appunto 2","2026-09-06","3","2026-09-13","6","In arrivo"
"Appunto 2","2026-09-06","4","2026-09-22","15","In arrivo"
"Appunto 2","2026-09-06","5","2026-10-11","34","In arrivo"
"Appunto 3","2026-08-20","1","2026-08-21","-17","Data passata"
"Appunto 3","2026-08-20","2","2026-08-23","-15","Data passata"
"Appunto 3","2026-08-20","3","2026-08-27","-11","Data passata"
"Appunto 3","2026-08-20","4","2026-09-05","-2","Data passata"
"Appunto 3","2026-08-20","5","2026-09-24","17","In arrivo"
"Appunti","3","","","",""
"Date di ripasso","15","","","",""
"Prossimo ripasso","2026-09-07","","","",""
