"ノート","書いた日","何回目","復習日","あと何日","状態"
"ノート 1","2026-09-01","1","2026-09-02","-5","過ぎた"
"ノート 1","2026-09-01","2","2026-09-04","-3","過ぎた"
"ノート 1","2026-09-01","3","2026-09-08","1","これから"
"ノート 1","2026-09-01","4","2026-09-17","10","これから"
"ノート 1","2026-09-01","5","2026-10-06","29","これから"
"ノート 2","2026-09-06","1","2026-09-07","0","今日"
"ノート 2","2026-09-06","2","2026-09-09","2","これから"
"ノート 2","2026-09-06","3","2026-09-13","6","これから"
"ノート 2","2026-09-06","4","2026-09-22","15","これから"
"ノート 2","2026-09-06","5","2026-10-11","34","これから"
"ノート 3","2026-08-20","1","2026-08-21","-17","過ぎた"
"ノート 3","2026-08-20","2","2026-08-23","-15","過ぎた"
"ノート 3","2026-08-20","3","2026-08-27","-11","過ぎた"
"ノート 3","2026-08-20","4","2026-09-05","-2","過ぎた"
"ノート 3","2026-08-20","5","2026-09-24","17","これから"
"ノート数","3","","","",""
"復習回数","15","","","",""
"次の復習","2026-09-07","","","",""
