"ಟಿಪ್ಪಣಿ","ಬರೆದ ದಿನಾಂಕ","ಸುತ್ತು","ಪುನರಾವರ್ತನೆ ದಿನಾಂಕ","ಉಳಿದ ದಿನ","ಸ್ಥಿತಿ"
"ಟಿಪ್ಪಣಿ 1","2026-09-01","1","2026-09-02","-5","ದಿನಾಂಕ ಕಳೆದಿದೆ"
"ಟಿಪ್ಪಣಿ 1","2026-09-01","2","2026-09-04","-3","ದಿನಾಂಕ ಕಳೆದಿದೆ"
"ಟಿಪ್ಪಣಿ 1","2026-09-01","3","2026-09-08","1","ಇನ್ನೂ ಬಂದಿಲ್ಲ"
"ಟಿಪ್ಪಣಿ 1","2026-09-01","4","2026-09-17","10","ಇನ್ನೂ ಬಂದಿಲ್ಲ"
"ಟಿಪ್ಪಣಿ 1","2026-09-01","5","2026-10-06","29","ಇನ್ನೂ ಬಂದಿಲ್ಲ"
"ಟಿಪ್ಪಣಿ 2","2026-09-06","1","2026-09-07","0","ಇಂದೇ"
"ಟಿಪ್ಪಣಿ 2","2026-09-06","2","2026-09-09","2","ಇನ್ನೂ ಬಂದಿಲ್ಲ"
"ಟಿಪ್ಪಣಿ 2","2026-09-06","3","2026-09-13","6","ಇನ್ನೂ ಬಂದಿಲ್ಲ"
"ಟಿಪ್ಪಣಿ 2","2026-09-06","4","2026-09-22","15","ಇನ್ನೂ ಬಂದಿಲ್ಲ"
"ಟಿಪ್ಪಣಿ 2","2026-09-06","5","2026-10-11","34","ಇನ್ನೂ ಬಂದಿಲ್ಲ"
"ಟಿಪ್ಪಣಿ 3","2026-08-20","1","2026-08-21","-17","ದಿನಾಂಕ ಕಳೆದಿದೆ"
"ಟಿಪ್ಪಣಿ 3","2026-08-20","2","2026-08-23","-15","ದಿನಾಂಕ ಕಳೆದಿದೆ"
"ಟಿಪ್ಪಣಿ 3","2026-08-20","3","2026-08-27","-11","ದಿನಾಂಕ ಕಳೆದಿದೆ"
"ಟಿಪ್ಪಣಿ 3","2026-08-20","4","2026-09-05","-2","ದಿನಾಂಕ ಕಳೆದಿದೆ"
"ಟಿಪ್ಪಣಿ 3","2026-08-20","5","2026-09-24","17","ಇನ್ನೂ ಬಂದಿಲ್ಲ"
"ಟಿಪ್ಪಣಿಗಳು","3","","","",""
"ದಿನಾಂಕಗಳು","15","","","",""
"ಮುಂದಿನ ಪುನರಾವರ್ತನೆ","2026-09-07","","","",""
