"노트","쓴 날짜","몇 번째","복습일","남은 일수","상태"
"노트 1","2026-09-01","1","2026-09-02","-5","지난 날짜"
"노트 1","2026-09-01","2","2026-09-04","-3","지난 날짜"
"노트 1","2026-09-01","3","2026-09-08","1","아직 남음"
"노트 1","2026-09-01","4","2026-09-17","10","아직 남음"
"노트 1","2026-09-01","5","2026-10-06","29","아직 남음"
"노트 2","2026-09-06","1","2026-09-07","0","바로 오늘"
"노트 2","2026-09-06","2","2026-09-09","2","아직 남음"
"노트 2","2026-09-06","3","2026-09-13","6","아직 남음"
"노트 2","2026-09-06","4","2026-09-22","15","아직 남음"
"노트 2","2026-09-06","5","2026-10-11","34","아직 남음"
"노트 3","2026-08-20","1","2026-08-21","-17","지난 날짜"
"노트 3","2026-08-20","2","2026-08-23","-15","지난 날짜"
"노트 3","2026-08-20","3","2026-08-27","-11","지난 날짜"
"노트 3","2026-08-20","4","2026-09-05","-2","지난 날짜"
"노트 3","2026-08-20","5","2026-09-24","17","아직 남음"
"노트 수","3","","","",""
"복습 횟수","15","","","",""
"다음 복습","2026-09-07","","","",""
