"കുറിപ്പ്","എഴുതിയ തീയതി","ഊഴം","ആവർത്തന തീയതി","ബാക്കി ദിവസം","നില"
"കുറിപ്പ് 1","2026-09-01","1","2026-09-02","-5","തീയതി കഴിഞ്ഞു"
"കുറിപ്പ് 1","2026-09-01","2","2026-09-04","-3","തീയതി കഴിഞ്ഞു"
"കുറിപ്പ് 1","2026-09-01","3","2026-09-08","1","ഇനിയും വരാനുണ്ട്"
"കുറിപ്പ് 1","2026-09-01","4","2026-09-17","10","ഇനിയും വരാനുണ്ട്"
"കുറിപ്പ് 1","2026-09-01","5","2026-10-06","29","ഇനിയും വരാനുണ്ട്"
"കുറിപ്പ് 2","2026-09-06","1","2026-09-07","0","ഇന്നു തന്നെ"
"കുറിപ്പ് 2","2026-09-06","2","2026-09-09","2","ഇനിയും വരാനുണ്ട്"
"കുറിപ്പ് 2","2026-09-06","3","2026-09-13","6","ഇനിയും വരാനുണ്ട്"
"കുറിപ്പ് 2","2026-09-06","4","2026-09-22","15","ഇനിയും വരാനുണ്ട്"
"കുറിപ്പ് 2","2026-09-06","5","2026-10-11","34","ഇനിയും വരാനുണ്ട്"
"കുറിപ്പ് 3","2026-08-20","1","2026-08-21","-17","തീയതി കഴിഞ്ഞു"
"കുറിപ്പ് 3","2026-08-20","2","2026-08-23","-15","തീയതി കഴിഞ്ഞു"
"കുറിപ്പ് 3","2026-08-20","3","2026-08-27","-11","തീയതി കഴിഞ്ഞു"
"കുറിപ്പ് 3","2026-08-20","4","2026-09-05","-2","തീയതി കഴിഞ്ഞു"
"കുറിപ്പ് 3","2026-08-20","5","2026-09-24","17","ഇനിയും വരാനുണ്ട്"
"കുറിപ്പുകൾ","3","","","",""
"തീയതികൾ","15","","","",""
"അടുത്ത ആവർത്തനം","2026-09-07","","","",""
