"टिपण","लिहिल्याची तारीख","फेरी","उजळणीची तारीख","किती दिवस उरले","स्थिती"
"टिपण 1","2026-09-01","1","2026-09-02","-5","तारीख होऊन गेली"
"टिपण 1","2026-09-01","2","2026-09-04","-3","तारीख होऊन गेली"
"टिपण 1","2026-09-01","3","2026-09-08","1","अजून बाकी"
"टिपण 1","2026-09-01","4","2026-09-17","10","अजून बाकी"
"टिपण 1","2026-09-01","5","2026-10-06","29","अजून बाकी"
"टिपण 2","2026-09-06","1","2026-09-07","0","आजच"
"टिपण 2","2026-09-06","2","2026-09-09","2","अजून बाकी"
"टिपण 2","2026-09-06","3","2026-09-13","6","अजून बाकी"
"टिपण 2","2026-09-06","4","2026-09-22","15","अजून बाकी"
"टिपण 2","2026-09-06","5","2026-10-11","34","अजून बाकी"
"टिपण 3","2026-08-20","1","2026-08-21","-17","तारीख होऊन गेली"
"टिपण 3","2026-08-20","2","2026-08-23","-15","तारीख होऊन गेली"
"टिपण 3","2026-08-20","3","2026-08-27","-11","तारीख होऊन गेली"
"टिपण 3","2026-08-20","4","2026-09-05","-2","तारीख होऊन गेली"
"टिपण 3","2026-08-20","5","2026-09-24","17","अजून बाकी"
"टिपणांची संख्या","3","","","",""
"तारखांची संख्या","15","","","",""
"पुढची उजळणी","2026-09-07","","","",""
