"Nota","Ditulis pada","Pusingan","Tarikh ulang kaji","Baki hari","Status"
"Nota 1","2026-09-01","1","2026-09-02","-5","Tarikh sudah berlalu"
"Nota 1","2026-09-01","2","2026-09-04","-3","Tarikh sudah berlalu"
"Nota 1","2026-09-01","3","2026-09-08","1","Belum sampai"
"Nota 1","2026-09-01","4","2026-09-17","10","Belum sampai"
"Nota 1","2026-09-01","5","2026-10-06","29","Belum sampai"
"Nota 2","2026-09-06","1","2026-09-07","0","Tepat hari ini"
"Nota 2","2026-09-06","2","2026-09-09","2","Belum sampai"
"Nota 2","2026-09-06","3","2026-09-13","6","Belum sampai"
"Nota 2","2026-09-06","4","2026-09-22","15","Belum sampai"
"Nota 2","2026-09-06","5","2026-10-11","34","Belum sampai"
"Nota 3","2026-08-20","1","2026-08-21","-17","Tarikh sudah berlalu"
"Nota 3","2026-08-20","2","2026-08-23","-15","Tarikh sudah berlalu"
"Nota 3","2026-08-20","3","2026-08-27","-11","Tarikh sudah berlalu"
"Nota 3","2026-08-20","4","2026-09-05","-2","Tarikh sudah berlalu"
"Nota 3","2026-08-20","5","2026-09-24","17","Belum sampai"
"Bilangan nota","3","","","",""
"Bilangan tarikh","15","","","",""
"Ulang kaji seterusnya","2026-09-07","","","",""
