"Aantekening","Geschreven op","Ronde","Herhaaldatum","Dagen te gaan","Status"
"Aantekening 1","2026-09-01","1","2026-09-02","-5","Datum voorbij"
"Aantekening 1","2026-09-01","2","2026-09-04","-3","Datum voorbij"
"Aantekening 1","2026-09-01","3","2026-09-08","1","Komt nog"
"Aantekening 1","2026-09-01","4","2026-09-17","10","Komt nog"
"Aantekening 1","2026-09-01","5","2026-10-06","29","Komt nog"
"Aantekening 2","2026-09-06","1","2026-09-07","0","Is vandaag"
"Aantekening 2","2026-09-06","2","2026-09-09","2","Komt nog"
"Aantekening 2","2026-09-06","3","2026-09-13","6","Komt nog"
"Aantekening 2","2026-09-06","4","2026-09-22","15","Komt nog"
"Aantekening 2","2026-09-06","5","2026-10-11","34","Komt nog"
"Aantekening 3","2026-08-20","1","2026-08-21","-17","Datum voorbij"
"Aantekening 3","2026-08-20","2","2026-08-23","-15","Datum voorbij"
"Aantekening 3","2026-08-20","3","2026-08-27","-11","Datum voorbij"
"Aantekening 3","2026-08-20","4","2026-09-05","-2","Datum voorbij"
"Aantekening 3","2026-08-20","5","2026-09-24","17","Komt nog"
"Aantekeningen","3","","","",""
"Herhaaldata","15","","","",""
"Volgende herhaling","2026-09-07","","","",""
