"Notat","Skrevet den","Runde","Repetisjonsdato","Dager igjen","Status"
"Notat 1","2026-09-01","1","2026-09-02","-5","Datoen har vært"
"Notat 1","2026-09-01","2","2026-09-04","-3","Datoen har vært"
"Notat 1","2026-09-01","3","2026-09-08","1","Kommer"
"Notat 1","2026-09-01","4","2026-09-17","10","Kommer"
"Notat 1","2026-09-01","5","2026-10-06","29","Kommer"
"Notat 2","2026-09-06","1","2026-09-07","0","Er i dag"
"Notat 2","2026-09-06","2","2026-09-09","2","Kommer"
"Notat 2","2026-09-06","3","2026-09-13","6","Kommer"
"Notat 2","2026-09-06","4","2026-09-22","15","Kommer"
"Notat 2","2026-09-06","5","2026-10-11","34","Kommer"
"Notat 3","2026-08-20","1","2026-08-21","-17","Datoen har vært"
"Notat 3","2026-08-20","2","2026-08-23","-15","Datoen har vært"
"Notat 3","2026-08-20","3","2026-08-27","-11","Datoen har vært"
"Notat 3","2026-08-20","4","2026-09-05","-2","Datoen har vært"
"Notat 3","2026-08-20","5","2026-09-24","17","Kommer"
"Notater","3","","","",""
"Repetisjonsdatoer","15","","","",""
"Neste repetisjon","2026-09-07","","","",""
