"ଟିପ୍ପଣୀ","ଲେଖା ତାରିଖ","ପାଳି","ପୁନରାବୃତ୍ତି ତାରିଖ","ବାକି ଦିନ","ସ୍ଥିତି"
"ଟିପ୍ପଣୀ 1","2026-09-01","1","2026-09-02","-5","ତାରିଖ ଚାଲିଯାଇଛି"
"ଟିପ୍ପଣୀ 1","2026-09-01","2","2026-09-04","-3","ତାରିଖ ଚାଲିଯାଇଛି"
"ଟିପ୍ପଣୀ 1","2026-09-01","3","2026-09-08","1","ଏବେ ବି ବାକି"
"ଟିପ୍ପଣୀ 1","2026-09-01","4","2026-09-17","10","ଏବେ ବି ବାକି"
"ଟିପ୍ପଣୀ 1","2026-09-01","5","2026-10-06","29","ଏବେ ବି ବାକି"
"ଟିପ୍ପଣୀ 2","2026-09-06","1","2026-09-07","0","ଆଜି ହିଁ"
"ଟିପ୍ପଣୀ 2","2026-09-06","2","2026-09-09","2","ଏବେ ବି ବାକି"
"ଟିପ୍ପଣୀ 2","2026-09-06","3","2026-09-13","6","ଏବେ ବି ବାକି"
"ଟିପ୍ପଣୀ 2","2026-09-06","4","2026-09-22","15","ଏବେ ବି ବାକି"
"ଟିପ୍ପଣୀ 2","2026-09-06","5","2026-10-11","34","ଏବେ ବି ବାକି"
"ଟିପ୍ପଣୀ 3","2026-08-20","1","2026-08-21","-17","ତାରିଖ ଚାଲିଯାଇଛି"
"ଟିପ୍ପଣୀ 3","2026-08-20","2","2026-08-23","-15","ତାରିଖ ଚାଲିଯାଇଛି"
"ଟିପ୍ପଣୀ 3","2026-08-20","3","2026-08-27","-11","ତାରିଖ ଚାଲିଯାଇଛି"
"ଟିପ୍ପଣୀ 3","2026-08-20","4","2026-09-05","-2","ତାରିଖ ଚାଲିଯାଇଛି"
"ଟିପ୍ପଣୀ 3","2026-08-20","5","2026-09-24","17","ଏବେ ବି ବାକି"
"ଟିପ୍ପଣୀ ସଂଖ୍ୟା","3","","","",""
"ତାରିଖ ସଂଖ୍ୟା","15","","","",""
"ପରବର୍ତ୍ତୀ ପୁନରାବୃତ୍ତି","2026-09-07","","","",""
