"ਨੋਟ","ਲਿਖਣ ਦੀ ਤਾਰੀਖ਼","ਵਾਰੀ","ਦੁਹਰਾਈ ਦੀ ਤਾਰੀਖ਼","ਕਿੰਨੇ ਦਿਨ ਬਾਕੀ","ਹਾਲਤ"
"ਨੋਟ 1","2026-09-01","1","2026-09-02","-5","ਤਾਰੀਖ਼ ਲੰਘ ਗਈ"
"ਨੋਟ 1","2026-09-01","2","2026-09-04","-3","ਤਾਰੀਖ਼ ਲੰਘ ਗਈ"
"ਨੋਟ 1","2026-09-01","3","2026-09-08","1","ਹਾਲੇ ਬਾਕੀ"
"ਨੋਟ 1","2026-09-01","4","2026-09-17","10","ਹਾਲੇ ਬਾਕੀ"
"ਨੋਟ 1","2026-09-01","5","2026-10-06","29","ਹਾਲੇ ਬਾਕੀ"
"ਨੋਟ 2","2026-09-06","1","2026-09-07","0","ਅੱਜ ਹੀ"
"ਨੋਟ 2","2026-09-06","2","2026-09-09","2","ਹਾਲੇ ਬਾਕੀ"
"ਨੋਟ 2","2026-09-06","3","2026-09-13","6","ਹਾਲੇ ਬਾਕੀ"
"ਨੋਟ 2","2026-09-06","4","2026-09-22","15","ਹਾਲੇ ਬਾਕੀ"
"ਨੋਟ 2","2026-09-06","5","2026-10-11","34","ਹਾਲੇ ਬਾਕੀ"
"ਨੋਟ 3","2026-08-20","1","2026-08-21","-17","ਤਾਰੀਖ਼ ਲੰਘ ਗਈ"
"ਨੋਟ 3","2026-08-20","2","2026-08-23","-15","ਤਾਰੀਖ਼ ਲੰਘ ਗਈ"
"ਨੋਟ 3","2026-08-20","3","2026-08-27","-11","ਤਾਰੀਖ਼ ਲੰਘ ਗਈ"
"ਨੋਟ 3","2026-08-20","4","2026-09-05","-2","ਤਾਰੀਖ਼ ਲੰਘ ਗਈ"
"ਨੋਟ 3","2026-08-20","5","2026-09-24","17","ਹਾਲੇ ਬਾਕੀ"
"ਨੋਟਾਂ ਦੀ ਗਿਣਤੀ","3","","","",""
"ਤਾਰੀਖ਼ਾਂ ਦੀ ਗਿਣਤੀ","15","","","",""
"ਅਗਲੀ ਦੁਹਰਾਈ","2026-09-07","","","",""
