"Notatka","Napisana","Powtórka","Data powtórki","Dni do terminu","Stan"
"Notatka 1","2026-09-01","1","2026-09-02","-5","Termin minął"
"Notatka 1","2026-09-01","2","2026-09-04","-3","Termin minął"
"Notatka 1","2026-09-01","3","2026-09-08","1","Jeszcze przed tobą"
"Notatka 1","2026-09-01","4","2026-09-17","10","Jeszcze przed tobą"
"Notatka 1","2026-09-01","5","2026-10-06","29","Jeszcze przed tobą"
"Notatka 2","2026-09-06","1","2026-09-07","0","To dzisiaj"
"Notatka 2","2026-09-06","2","2026-09-09","2","Jeszcze przed tobą"
"Notatka 2","2026-09-06","3","2026-09-13","6","Jeszcze przed tobą"
"Notatka 2","2026-09-06","4","2026-09-22","15","Jeszcze przed tobą"
"Notatka 2","2026-09-06","5","2026-10-11","34","Jeszcze przed tobą"
"Notatka 3","2026-08-20","1","2026-08-21","-17","Termin minął"
"Notatka 3","2026-08-20","2","2026-08-23","-15","Termin minął"
"Notatka 3","2026-08-20","3","2026-08-27","-11","Termin minął"
"Notatka 3","2026-08-20","4","2026-09-05","-2","Termin minął"
"Notatka 3","2026-08-20","5","2026-09-24","17","Jeszcze przed tobą"
"Notatki","3","","","",""
"Terminy powtórek","15","","","",""
"Najbliższa powtórka","2026-09-07","","","",""
