"Anotação","Escrita em","Revisão","Data da revisão","Dias restantes","Situação"
"Anotação 1","2026-09-01","1","2026-09-02","-5","Data passada"
"Anotação 1","2026-09-01","2","2026-09-04","-3","Data passada"
"Anotação 1","2026-09-01","3","2026-09-08","1","Ainda vem"
"Anotação 1","2026-09-01","4","2026-09-17","10","Ainda vem"
"Anotação 1","2026-09-01","5","2026-10-06","29","Ainda vem"
"Anotação 2","2026-09-06","1","2026-09-07","0","É hoje"
"Anotação 2","2026-09-06","2","2026-09-09","2","Ainda vem"
"Anotação 2","2026-09-06","3","2026-09-13","6","Ainda vem"
"Anotação 2","2026-09-06","4","2026-09-22","15","Ainda vem"
"Anotação 2","2026-09-06","5","2026-10-11","34","Ainda vem"
"Anotação 3","2026-08-20","1","2026-08-21","-17","Data passada"
"Anotação 3","2026-08-20","2","2026-08-23","-15","Data passada"
"Anotação 3","2026-08-20","3","2026-08-27","-11","Data passada"
"Anotação 3","2026-08-20","4","2026-09-05","-2","Data passada"
"Anotação 3","2026-08-20","5","2026-09-24","17","Ainda vem"
"Anotações","3","","","",""
"Datas de revisão","15","","","",""
"Próxima revisão","2026-09-07","","","",""
