"Notiță","Scrisă pe","Rundă","Data recapitulării","Zile rămase","Stare"
"Notiță 1","2026-09-01","1","2026-09-02","-5","Data a trecut"
"Notiță 1","2026-09-01","2","2026-09-04","-3","Data a trecut"
"Notiță 1","2026-09-01","3","2026-09-08","1","Urmează"
"Notiță 1","2026-09-01","4","2026-09-17","10","Urmează"
"Notiță 1","2026-09-01","5","2026-10-06","29","Urmează"
"Notiță 2","2026-09-06","1","2026-09-07","0","Chiar azi"
"Notiță 2","2026-09-06","2","2026-09-09","2","Urmează"
"Notiță 2","2026-09-06","3","2026-09-13","6","Urmează"
"Notiță 2","2026-09-06","4","2026-09-22","15","Urmează"
"Notiță 2","2026-09-06","5","2026-10-11","34","Urmează"
"Notiță 3","2026-08-20","1","2026-08-21","-17","Data a trecut"
"Notiță 3","2026-08-20","2","2026-08-23","-15","Data a trecut"
"Notiță 3","2026-08-20","3","2026-08-27","-11","Data a trecut"
"Notiță 3","2026-08-20","4","2026-09-05","-2","Data a trecut"
"Notiță 3","2026-08-20","5","2026-09-24","17","Urmează"
"Notițe","3","","","",""
"Recapitulări","15","","","",""
"Următoarea","2026-09-07","","","",""
