"Конспект","Написан","Повтор","Дата повторения","Осталось дней","Состояние"
"Конспект 1","2026-09-01","1","2026-09-02","-5","Дата прошла"
"Конспект 1","2026-09-01","2","2026-09-04","-3","Дата прошла"
"Конспект 1","2026-09-01","3","2026-09-08","1","Впереди"
"Конспект 1","2026-09-01","4","2026-09-17","10","Впереди"
"Конспект 1","2026-09-01","5","2026-10-06","29","Впереди"
"Конспект 2","2026-09-06","1","2026-09-07","0","Сегодня"
"Конспект 2","2026-09-06","2","2026-09-09","2","Впереди"
"Конспект 2","2026-09-06","3","2026-09-13","6","Впереди"
"Конспект 2","2026-09-06","4","2026-09-22","15","Впереди"
"Конспект 2","2026-09-06","5","2026-10-11","34","Впереди"
"Конспект 3","2026-08-20","1","2026-08-21","-17","Дата прошла"
"Конспект 3","2026-08-20","2","2026-08-23","-15","Дата прошла"
"Конспект 3","2026-08-20","3","2026-08-27","-11","Дата прошла"
"Конспект 3","2026-08-20","4","2026-09-05","-2","Дата прошла"
"Конспект 3","2026-08-20","5","2026-09-24","17","Впереди"
"Конспектов","3","","","",""
"Дат повторения","15","","","",""
"Ближайшее повторение","2026-09-07","","","",""
