"Poznámka","Napísané","Kolo","Dátum opakovania","Zostáva dní","Stav"
"Poznámka 1","2026-09-01","1","2026-09-02","-5","Termín uplynul"
"Poznámka 1","2026-09-01","2","2026-09-04","-3","Termín uplynul"
"Poznámka 1","2026-09-01","3","2026-09-08","1","Ešte príde"
"Poznámka 1","2026-09-01","4","2026-09-17","10","Ešte príde"
"Poznámka 1","2026-09-01","5","2026-10-06","29","Ešte príde"
"Poznámka 2","2026-09-06","1","2026-09-07","0","Je to dnes"
"Poznámka 2","2026-09-06","2","2026-09-09","2","Ešte príde"
"Poznámka 2","2026-09-06","3","2026-09-13","6","Ešte príde"
"Poznámka 2","2026-09-06","4","2026-09-22","15","Ešte príde"
"Poznámka 2","2026-09-06","5","2026-10-11","34","Ešte príde"
"Poznámka 3","2026-08-20","1","2026-08-21","-17","Termín uplynul"
"Poznámka 3","2026-08-20","2","2026-08-23","-15","Termín uplynul"
"Poznámka 3","2026-08-20","3","2026-08-27","-11","Termín uplynul"
"Poznámka 3","2026-08-20","4","2026-09-05","-2","Termín uplynul"
"Poznámka 3","2026-08-20","5","2026-09-24","17","Ešte príde"
"Poznámky","3","","","",""
"Termíny","15","","","",""
"Najbližšie opakovanie","2026-09-07","","","",""
