"Zapisek","Napisano","Krog","Datum ponovitve","Dni do roka","Stanje"
"Zapisek 1","2026-09-01","1","2026-09-02","-5","Datum je mimo"
"Zapisek 1","2026-09-01","2","2026-09-04","-3","Datum je mimo"
"Zapisek 1","2026-09-01","3","2026-09-08","1","Šele pride"
"Zapisek 1","2026-09-01","4","2026-09-17","10","Šele pride"
"Zapisek 1","2026-09-01","5","2026-10-06","29","Šele pride"
"Zapisek 2","2026-09-06","1","2026-09-07","0","Je danes"
"Zapisek 2","2026-09-06","2","2026-09-09","2","Šele pride"
"Zapisek 2","2026-09-06","3","2026-09-13","6","Šele pride"
"Zapisek 2","2026-09-06","4","2026-09-22","15","Šele pride"
"Zapisek 2","2026-09-06","5","2026-10-11","34","Šele pride"
"Zapisek 3","2026-08-20","1","2026-08-21","-17","Datum je mimo"
"Zapisek 3","2026-08-20","2","2026-08-23","-15","Datum je mimo"
"Zapisek 3","2026-08-20","3","2026-08-27","-11","Datum je mimo"
"Zapisek 3","2026-08-20","4","2026-09-05","-2","Datum je mimo"
"Zapisek 3","2026-08-20","5","2026-09-24","17","Šele pride"
"Zapiski","3","","","",""
"Datumi ponovitev","15","","","",""
"Naslednja ponovitev","2026-09-07","","","",""
