"Anteckning","Skriven den","Omgång","Repetitionsdatum","Dagar kvar","Status"
"Anteckning 1","2026-09-01","1","2026-09-02","-5","Datumet har passerat"
"Anteckning 1","2026-09-01","2","2026-09-04","-3","Datumet har passerat"
"Anteckning 1","2026-09-01","3","2026-09-08","1","Kommer"
"Anteckning 1","2026-09-01","4","2026-09-17","10","Kommer"
"Anteckning 1","2026-09-01","5","2026-10-06","29","Kommer"
"Anteckning 2","2026-09-06","1","2026-09-07","0","Är i dag"
"Anteckning 2","2026-09-06","2","2026-09-09","2","Kommer"
"Anteckning 2","2026-09-06","3","2026-09-13","6","Kommer"
"Anteckning 2","2026-09-06","4","2026-09-22","15","Kommer"
"Anteckning 2","2026-09-06","5","2026-10-11","34","Kommer"
"Anteckning 3","2026-08-20","1","2026-08-21","-17","Datumet har passerat"
"Anteckning 3","2026-08-20","2","2026-08-23","-15","Datumet har passerat"
"Anteckning 3","2026-08-20","3","2026-08-27","-11","Datumet har passerat"
"Anteckning 3","2026-08-20","4","2026-09-05","-2","Datumet har passerat"
"Anteckning 3","2026-08-20","5","2026-09-24","17","Kommer"
"Anteckningar","3","","","",""
"Repetitionsdatum","15","","","",""
"Nästa repetition","2026-09-07","","","",""
