"குறிப்பு","எழுதிய நாள்","சுற்று","மீள்பார்வை நாள்","மீதி நாட்கள்","நிலை"
"குறிப்பு 1","2026-09-01","1","2026-09-02","-5","நாள் கடந்துவிட்டது"
"குறிப்பு 1","2026-09-01","2","2026-09-04","-3","நாள் கடந்துவிட்டது"
"குறிப்பு 1","2026-09-01","3","2026-09-08","1","இன்னும் வரவில்லை"
"குறிப்பு 1","2026-09-01","4","2026-09-17","10","இன்னும் வரவில்லை"
"குறிப்பு 1","2026-09-01","5","2026-10-06","29","இன்னும் வரவில்லை"
"குறிப்பு 2","2026-09-06","1","2026-09-07","0","இன்றே"
"குறிப்பு 2","2026-09-06","2","2026-09-09","2","இன்னும் வரவில்லை"
"குறிப்பு 2","2026-09-06","3","2026-09-13","6","இன்னும் வரவில்லை"
"குறிப்பு 2","2026-09-06","4","2026-09-22","15","இன்னும் வரவில்லை"
"குறிப்பு 2","2026-09-06","5","2026-10-11","34","இன்னும் வரவில்லை"
"குறிப்பு 3","2026-08-20","1","2026-08-21","-17","நாள் கடந்துவிட்டது"
"குறிப்பு 3","2026-08-20","2","2026-08-23","-15","நாள் கடந்துவிட்டது"
"குறிப்பு 3","2026-08-20","3","2026-08-27","-11","நாள் கடந்துவிட்டது"
"குறிப்பு 3","2026-08-20","4","2026-09-05","-2","நாள் கடந்துவிட்டது"
"குறிப்பு 3","2026-08-20","5","2026-09-24","17","இன்னும் வரவில்லை"
"குறிப்புகள்","3","","","",""
"மீள்பார்வை நாட்கள்","15","","","",""
"அடுத்த மீள்பார்வை","2026-09-07","","","",""
