"โน้ต","เขียนวันที่","ครั้งที่","วันทบทวน","เหลืออีกกี่วัน","สถานะ"
"โน้ต 1","2026-09-01","1","2026-09-02","-5","เลยวันแล้ว"
"โน้ต 1","2026-09-01","2","2026-09-04","-3","เลยวันแล้ว"
"โน้ต 1","2026-09-01","3","2026-09-08","1","ยังไม่ถึง"
"โน้ต 1","2026-09-01","4","2026-09-17","10","ยังไม่ถึง"
"โน้ต 1","2026-09-01","5","2026-10-06","29","ยังไม่ถึง"
"โน้ต 2","2026-09-06","1","2026-09-07","0","ตรงกับวันนี้"
"โน้ต 2","2026-09-06","2","2026-09-09","2","ยังไม่ถึง"
"โน้ต 2","2026-09-06","3","2026-09-13","6","ยังไม่ถึง"
"โน้ต 2","2026-09-06","4","2026-09-22","15","ยังไม่ถึง"
"โน้ต 2","2026-09-06","5","2026-10-11","34","ยังไม่ถึง"
"โน้ต 3","2026-08-20","1","2026-08-21","-17","เลยวันแล้ว"
"โน้ต 3","2026-08-20","2","2026-08-23","-15","เลยวันแล้ว"
"โน้ต 3","2026-08-20","3","2026-08-27","-11","เลยวันแล้ว"
"โน้ต 3","2026-08-20","4","2026-09-05","-2","เลยวันแล้ว"
"โน้ต 3","2026-08-20","5","2026-09-24","17","ยังไม่ถึง"
"จำนวนโน้ต","3","","","",""
"จำนวนวันทบทวน","15","","","",""
"ทบทวนครั้งถัดไป","2026-09-07","","","",""
