#separator:Tab
#html:false
#tags:bopomofo zhuyin taiwan-mandarin open-oer english
#deck:Open Bopomofo - 37 Symbols (English)
#columns:Front	Back
ㄅ	Pinyin: b | IPA: [p] | Category: Initial | Example: 爸 (bà) - father
ㄆ	Pinyin: p | IPA: [pʰ] | Category: Initial | Example: 怕 (pà) - afraid
ㄇ	Pinyin: m | IPA: [m] | Category: Initial | Example: 媽 (mā) - mother
ㄈ	Pinyin: f | IPA: [f] | Category: Initial | Example: 飛 (fēi) - to fly
ㄉ	Pinyin: d | IPA: [t] | Category: Initial | Example: 大 (dà) - big
ㄊ	Pinyin: t | IPA: [tʰ] | Category: Initial | Example: 天 (tiān) - sky
ㄋ	Pinyin: n | IPA: [n] | Category: Initial | Example: 你 (nǐ) - you
ㄌ	Pinyin: l | IPA: [l] | Category: Initial | Example: 來 (lái) - to come
ㄍ	Pinyin: g | IPA: [k] | Category: Initial | Example: 狗 (gǒu) - dog
ㄎ	Pinyin: k | IPA: [kʰ] | Category: Initial | Example: 看 (kàn) - to look
ㄏ	Pinyin: h | IPA: [x] | Category: Initial | Example: 好 (hǎo) - good
ㄐ	Pinyin: j | IPA: [tɕ] | Category: Initial | Example: 家 (jiā) - home
ㄑ	Pinyin: q | IPA: [tɕʰ] | Category: Initial | Example: 去 (qù) - to go
ㄒ	Pinyin: x | IPA: [ɕ] | Category: Initial | Example: 小 (xiǎo) - small
ㄓ	Pinyin: zh | IPA: [ʈʂ] | Category: Initial | Example: 中 (zhōng) - middle
ㄔ	Pinyin: ch | IPA: [ʈʂʰ] | Category: Initial | Example: 吃 (chī) - to eat
ㄕ	Pinyin: sh | IPA: [ʂ] | Category: Initial | Example: 是 (shì) - to be
ㄖ	Pinyin: r | IPA: [ʐ] | Category: Initial | Example: 人 (rén) - person
ㄗ	Pinyin: z | IPA: [ts] | Category: Initial | Example: 早 (zǎo) - early
ㄘ	Pinyin: c | IPA: [tsʰ] | Category: Initial | Example: 菜 (cài) - vegetable
ㄙ	Pinyin: s | IPA: [s] | Category: Initial | Example: 三 (sān) - three
ㄧ	Pinyin: i / yi | IPA: [i] | Category: Medial | Example: 一 (yī) - one
ㄨ	Pinyin: u / wu | IPA: [u] | Category: Medial | Example: 五 (wǔ) - five
ㄩ	Pinyin: ü / yu | IPA: [y] | Category: Medial | Example: 魚 (yú) - fish
ㄚ	Pinyin: a | IPA: [a] | Category: Final | Example: 大 (dà) - big
ㄛ	Pinyin: o | IPA: [ɔ] | Category: Final | Example: 波 (bō) - wave
ㄜ	Pinyin: e | IPA: [ɤ] | Category: Final | Example: 喝 (hē) - to drink
ㄝ	Pinyin: ê | IPA: [ɛ] | Category: Final | Example: 誒 (ề) - hey (interjection)
ㄞ	Pinyin: ai | IPA: [ai] | Category: Final | Example: 愛 (ài) - love
ㄟ	Pinyin: ei | IPA: [ei] | Category: Final | Example: 給 (gěi) - to give
ㄠ	Pinyin: ao | IPA: [au] | Category: Final | Example: 好 (hǎo) - good
ㄡ	Pinyin: ou | IPA: [ou] | Category: Final | Example: 有 (yǒu) - to have
ㄢ	Pinyin: an | IPA: [an] | Category: Final | Example: 安 (ān) - peace
ㄣ	Pinyin: en | IPA: [ən] | Category: Final | Example: 恩 (ēn) - grace
ㄤ	Pinyin: ang | IPA: [aŋ] | Category: Final | Example: 忙 (máng) - busy
ㄥ	Pinyin: eng | IPA: [əŋ] | Category: Final | Example: 冷 (lěng) - cold
ㄦ	Pinyin: er | IPA: [ɚ] | Category: Final | Example: 二 (èr) - two
