#separator:Tab
#html:false
#tags:bopomofo zhuyin taiwan-mandarin open-oer zh-hant
#deck:開放注音牌組 - 37 個符號（繁體中文）
#columns:Front	Back
ㄅ	漢語拼音：b｜IPA：[p]｜分類：聲母｜例字：爸（bà）｜英文：father
ㄆ	漢語拼音：p｜IPA：[pʰ]｜分類：聲母｜例字：怕（pà）｜英文：afraid
ㄇ	漢語拼音：m｜IPA：[m]｜分類：聲母｜例字：媽（mā）｜英文：mother
ㄈ	漢語拼音：f｜IPA：[f]｜分類：聲母｜例字：飛（fēi）｜英文：to fly
ㄉ	漢語拼音：d｜IPA：[t]｜分類：聲母｜例字：大（dà）｜英文：big
ㄊ	漢語拼音：t｜IPA：[tʰ]｜分類：聲母｜例字：天（tiān）｜英文：sky
ㄋ	漢語拼音：n｜IPA：[n]｜分類：聲母｜例字：你（nǐ）｜英文：you
ㄌ	漢語拼音：l｜IPA：[l]｜分類：聲母｜例字：來（lái）｜英文：to come
ㄍ	漢語拼音：g｜IPA：[k]｜分類：聲母｜例字：狗（gǒu）｜英文：dog
ㄎ	漢語拼音：k｜IPA：[kʰ]｜分類：聲母｜例字：看（kàn）｜英文：to look
ㄏ	漢語拼音：h｜IPA：[x]｜分類：聲母｜例字：好（hǎo）｜英文：good
ㄐ	漢語拼音：j｜IPA：[tɕ]｜分類：聲母｜例字：家（jiā）｜英文：home
ㄑ	漢語拼音：q｜IPA：[tɕʰ]｜分類：聲母｜例字：去（qù）｜英文：to go
ㄒ	漢語拼音：x｜IPA：[ɕ]｜分類：聲母｜例字：小（xiǎo）｜英文：small
ㄓ	漢語拼音：zh｜IPA：[ʈʂ]｜分類：聲母｜例字：中（zhōng）｜英文：middle
ㄔ	漢語拼音：ch｜IPA：[ʈʂʰ]｜分類：聲母｜例字：吃（chī）｜英文：to eat
ㄕ	漢語拼音：sh｜IPA：[ʂ]｜分類：聲母｜例字：是（shì）｜英文：to be
ㄖ	漢語拼音：r｜IPA：[ʐ]｜分類：聲母｜例字：人（rén）｜英文：person
ㄗ	漢語拼音：z｜IPA：[ts]｜分類：聲母｜例字：早（zǎo）｜英文：early
ㄘ	漢語拼音：c｜IPA：[tsʰ]｜分類：聲母｜例字：菜（cài）｜英文：vegetable
ㄙ	漢語拼音：s｜IPA：[s]｜分類：聲母｜例字：三（sān）｜英文：three
ㄧ	漢語拼音：i / yi｜IPA：[i]｜分類：介音｜例字：一（yī）｜英文：one
ㄨ	漢語拼音：u / wu｜IPA：[u]｜分類：介音｜例字：五（wǔ）｜英文：five
ㄩ	漢語拼音：ü / yu｜IPA：[y]｜分類：介音｜例字：魚（yú）｜英文：fish
ㄚ	漢語拼音：a｜IPA：[a]｜分類：韻母｜例字：大（dà）｜英文：big
ㄛ	漢語拼音：o｜IPA：[ɔ]｜分類：韻母｜例字：波（bō）｜英文：wave
ㄜ	漢語拼音：e｜IPA：[ɤ]｜分類：韻母｜例字：喝（hē）｜英文：to drink
ㄝ	漢語拼音：ê｜IPA：[ɛ]｜分類：韻母｜例字：誒（ề）｜英文：hey (interjection)
ㄞ	漢語拼音：ai｜IPA：[ai]｜分類：韻母｜例字：愛（ài）｜英文：love
ㄟ	漢語拼音：ei｜IPA：[ei]｜分類：韻母｜例字：給（gěi）｜英文：to give
ㄠ	漢語拼音：ao｜IPA：[au]｜分類：韻母｜例字：好（hǎo）｜英文：good
ㄡ	漢語拼音：ou｜IPA：[ou]｜分類：韻母｜例字：有（yǒu）｜英文：to have
ㄢ	漢語拼音：an｜IPA：[an]｜分類：韻母｜例字：安（ān）｜英文：peace
ㄣ	漢語拼音：en｜IPA：[ən]｜分類：韻母｜例字：恩（ēn）｜英文：grace
ㄤ	漢語拼音：ang｜IPA：[aŋ]｜分類：韻母｜例字：忙（máng）｜英文：busy
ㄥ	漢語拼音：eng｜IPA：[əŋ]｜分類：韻母｜例字：冷（lěng）｜英文：cold
ㄦ	漢語拼音：er｜IPA：[ɚ]｜分類：韻母｜例字：二（èr）｜英文：two
