"Not","Yazıldığı tarih","Tur","Tekrar tarihi","Kalan gün","Durum"
"Not 1","2026-09-01","1","2026-09-02","-5","Tarih geçti"
"Not 1","2026-09-01","2","2026-09-04","-3","Tarih geçti"
"Not 1","2026-09-01","3","2026-09-08","1","Daha var"
"Not 1","2026-09-01","4","2026-09-17","10","Daha var"
"Not 1","2026-09-01","5","2026-10-06","29","Daha var"
"Not 2","2026-09-06","1","2026-09-07","0","Tam bugün"
"Not 2","2026-09-06","2","2026-09-09","2","Daha var"
"Not 2","2026-09-06","3","2026-09-13","6","Daha var"
"Not 2","2026-09-06","4","2026-09-22","15","Daha var"
"Not 2","2026-09-06","5","2026-10-11","34","Daha var"
"Not 3","2026-08-20","1","2026-08-21","-17","Tarih geçti"
"Not 3","2026-08-20","2","2026-08-23","-15","Tarih geçti"
"Not 3","2026-08-20","3","2026-08-27","-11","Tarih geçti"
"Not 3","2026-08-20","4","2026-09-05","-2","Tarih geçti"
"Not 3","2026-08-20","5","2026-09-24","17","Daha var"
"Not sayısı","3","","","",""
"Tekrar sayısı","15","","","",""
"Sıradaki tekrar","2026-09-07","","","",""
