"Конспект","Написано","Повтор","Дата повторення","Лишилося днів","Стан"
"Конспект 1","2026-09-01","1","2026-09-02","-5","Дата минула"
"Конспект 1","2026-09-01","2","2026-09-04","-3","Дата минула"
"Конспект 1","2026-09-01","3","2026-09-08","1","Попереду"
"Конспект 1","2026-09-01","4","2026-09-17","10","Попереду"
"Конспект 1","2026-09-01","5","2026-10-06","29","Попереду"
"Конспект 2","2026-09-06","1","2026-09-07","0","Саме сьогодні"
"Конспект 2","2026-09-06","2","2026-09-09","2","Попереду"
"Конспект 2","2026-09-06","3","2026-09-13","6","Попереду"
"Конспект 2","2026-09-06","4","2026-09-22","15","Попереду"
"Конспект 2","2026-09-06","5","2026-10-11","34","Попереду"
"Конспект 3","2026-08-20","1","2026-08-21","-17","Дата минула"
"Конспект 3","2026-08-20","2","2026-08-23","-15","Дата минула"
"Конспект 3","2026-08-20","3","2026-08-27","-11","Дата минула"
"Конспект 3","2026-08-20","4","2026-09-05","-2","Дата минула"
"Конспект 3","2026-08-20","5","2026-09-24","17","Попереду"
"Конспектів","3","","","",""
"Дат повторення","15","","","",""
"Найближче повторення","2026-09-07","","","",""
