"نوٹ","لکھنے کی تاریخ","باری","دہرائی کی تاریخ","کتنے دن باقی","حالت"
"نوٹ 1","2026-09-01","1","2026-09-02","-5","تاریخ گزر گئی"
"نوٹ 1","2026-09-01","2","2026-09-04","-3","تاریخ گزر گئی"
"نوٹ 1","2026-09-01","3","2026-09-08","1","ابھی باقی ہے"
"نوٹ 1","2026-09-01","4","2026-09-17","10","ابھی باقی ہے"
"نوٹ 1","2026-09-01","5","2026-10-06","29","ابھی باقی ہے"
"نوٹ 2","2026-09-06","1","2026-09-07","0","آج ہی"
"نوٹ 2","2026-09-06","2","2026-09-09","2","ابھی باقی ہے"
"نوٹ 2","2026-09-06","3","2026-09-13","6","ابھی باقی ہے"
"نوٹ 2","2026-09-06","4","2026-09-22","15","ابھی باقی ہے"
"نوٹ 2","2026-09-06","5","2026-10-11","34","ابھی باقی ہے"
"نوٹ 3","2026-08-20","1","2026-08-21","-17","تاریخ گزر گئی"
"نوٹ 3","2026-08-20","2","2026-08-23","-15","تاریخ گزر گئی"
"نوٹ 3","2026-08-20","3","2026-08-27","-11","تاریخ گزر گئی"
"نوٹ 3","2026-08-20","4","2026-09-05","-2","تاریخ گزر گئی"
"نوٹ 3","2026-08-20","5","2026-09-24","17","ابھی باقی ہے"
"نوٹس کی تعداد","3","","","",""
"تاریخوں کی تعداد","15","","","",""
"اگلی دہرائی","2026-09-07","","","",""
