"Ghi chép","Viết ngày","Lượt","Ngày ôn","Còn lại (ngày)","Trạng thái"
"Ghi chép 1","2026-09-01","1","2026-09-02","-5","Đã qua"
"Ghi chép 1","2026-09-01","2","2026-09-04","-3","Đã qua"
"Ghi chép 1","2026-09-01","3","2026-09-08","1","Sắp tới"
"Ghi chép 1","2026-09-01","4","2026-09-17","10","Sắp tới"
"Ghi chép 1","2026-09-01","5","2026-10-06","29","Sắp tới"
"Ghi chép 2","2026-09-06","1","2026-09-07","0","Đúng hôm nay"
"Ghi chép 2","2026-09-06","2","2026-09-09","2","Sắp tới"
"Ghi chép 2","2026-09-06","3","2026-09-13","6","Sắp tới"
"Ghi chép 2","2026-09-06","4","2026-09-22","15","Sắp tới"
"Ghi chép 2","2026-09-06","5","2026-10-11","34","Sắp tới"
"Ghi chép 3","2026-08-20","1","2026-08-21","-17","Đã qua"
"Ghi chép 3","2026-08-20","2","2026-08-23","-15","Đã qua"
"Ghi chép 3","2026-08-20","3","2026-08-27","-11","Đã qua"
"Ghi chép 3","2026-08-20","4","2026-09-05","-2","Đã qua"
"Ghi chép 3","2026-08-20","5","2026-09-24","17","Sắp tới"
"Số ghi chép","3","","","",""
"Số mốc ôn","15","","","",""
"Lần ôn kế tiếp","2026-09-07","","","",""
