"笔记","书写日期","第几次复习","复习日期","剩几天","状态"
"笔记 1","2026-09-01","1","2026-09-02","-5","已过期"
"笔记 1","2026-09-01","2","2026-09-04","-3","已过期"
"笔记 1","2026-09-01","3","2026-09-08","1","还没到"
"笔记 1","2026-09-01","4","2026-09-17","10","还没到"
"笔记 1","2026-09-01","5","2026-10-06","29","还没到"
"笔记 2","2026-09-06","1","2026-09-07","0","就是今天"
"笔记 2","2026-09-06","2","2026-09-09","2","还没到"
"笔记 2","2026-09-06","3","2026-09-13","6","还没到"
"笔记 2","2026-09-06","4","2026-09-22","15","还没到"
"笔记 2","2026-09-06","5","2026-10-11","34","还没到"
"笔记 3","2026-08-20","1","2026-08-21","-17","已过期"
"笔记 3","2026-08-20","2","2026-08-23","-15","已过期"
"笔记 3","2026-08-20","3","2026-08-27","-11","已过期"
"笔记 3","2026-08-20","4","2026-09-05","-2","已过期"
"笔记 3","2026-08-20","5","2026-09-24","17","还没到"
"笔记数","3","","","",""
"复习次数","15","","","",""
"下次复习","2026-09-07","","","",""
