"筆記","寫的日期","第幾次複習","複習日期","剩幾天","狀態"
"筆記 1","2026-09-01","1","2026-09-02","-5","已過期"
"筆記 1","2026-09-01","2","2026-09-04","-3","已過期"
"筆記 1","2026-09-01","3","2026-09-08","1","還沒到"
"筆記 1","2026-09-01","4","2026-09-17","10","還沒到"
"筆記 1","2026-09-01","5","2026-10-06","29","還沒到"
"筆記 2","2026-09-06","1","2026-09-07","0","就是今天"
"筆記 2","2026-09-06","2","2026-09-09","2","還沒到"
"筆記 2","2026-09-06","3","2026-09-13","6","還沒到"
"筆記 2","2026-09-06","4","2026-09-22","15","還沒到"
"筆記 2","2026-09-06","5","2026-10-11","34","還沒到"
"筆記 3","2026-08-20","1","2026-08-21","-17","已過期"
"筆記 3","2026-08-20","2","2026-08-23","-15","已過期"
"筆記 3","2026-08-20","3","2026-08-27","-11","已過期"
"筆記 3","2026-08-20","4","2026-09-05","-2","已過期"
"筆記 3","2026-08-20","5","2026-09-24","17","還沒到"
"筆記數","3","","","",""
"複習次數","15","","","",""
"下次複習","2026-09-07","","","",""
